network,registered_country_geoname_id
2.59.156.0/24,2921044
2.59.160.0/22,2017370
2.59.164.0/22,453733
2.59.168.0/22,2750405
2.59.172.0/23,2782113
2.59.176.0/22,241170
2.59.180.0/24,2623032
2.59.188.0/22,3017382
2.59.192.0/22,2510769
2.59.196.0/22,719819
2.59.200.0/23,2635167
2.59.204.0/22,617790
2.59.208.0/22,2661886
2.59.212.0/24,290557
2.59.216.0/22,2017370
2.59.220.0/22,3077311
2.59.224.0/22,1269750
2.59.228.0/22,3175395
2.59.232.0/22,2510769
2.59.236.0/22,3017382
2.59.240.0/22,2017370
2.59.244.0/22,2510769
2.59.248.0/22,3175395
2.59.252.0/23,732800
2.60.0.0/15,2017370
2.64.0.0/13,2661886
2.72.0.0/13,1522867
2.80.0.0/14,2264397
2.84.0.0/14,390903
2.88.0.0/14,102358
2.92.0.0/14,2017370
2.96.0.0/14,2635167
2.104.0.0/13,2623032
2.112.0.0/13,3175395
2.120.0.0/13,2635167
2.128.0.0/14,2623032
2.132.0.0/14,1522867
2.136.0.0/13,2510769
2.144.0.0/14,130758
2.148.0.0/14,3144096
2.152.0.0/14,2510769
2.156.0.0/14,3175395
2.160.0.0/12,2921044
2.176.0.0/12,130758
2.192.0.0/13,3175395
2.200.0.0/13,2921044
2.216.0.0/13,2635167
2.224.0.0/12,3175395
2.240.0.0/13,2921044
2.248.0.0/13,2661886
3.0.0.0/15,6252001
5.0.0.0/16,163843
5.1.0.0/19,690791
5.1.32.0/21,2510769
5.1.40.0/24,597427
5.1.41.0/24,2017370
5.1.42.0/24,3175395
5.1.43.0/24,130758
5.1.44.0/24,3175395
5.1.45.0/24,2635167
5.1.46.0/24,241170
5.1.48.0/21,2017370
5.1.56.0/21,3077311
5.1.64.0/22,2921044
5.1.96.0/21,2658434
5.1.104.0/21,99237
5.1.112.0/24,2658434
5.1.120.0/21,2921044
5.2.0.0/20,3175395
5.2.16.0/21,2635167
5.2.24.0/21,2510769
5.2.32.0/19,2017370
5.2.64.0/23,2750405
5.2.80.0/21,298795
5.2.88.0/21,2510769
5.2.96.0/19,2635167
5.2.128.0/17,798549
5.3.0.0/16,2017370
5.4.0.0/14,2921044
5.8.0.0/21,2017370
5.8.24.0/23,2960313
5.8.28.0/22,2017370
5.8.32.0/24,2960313
5.8.36.0/22,2017370
5.8.40.0/23,2960313
5.8.42.0/23,2017370
5.8.68.0/24,2960313
5.8.69.0/24,2017370
5.8.70.0/23,2960313
5.8.72.0/21,2017370
5.8.92.0/23,2960313
5.8.96.0/19,3175395
5.8.128.0/19,272103
5.8.160.0/20,2017370
5.8.184.0/22,2510769
5.8.192.0/19,2017370
5.8.240.0/21,99237
5.8.248.0/24,2750405
5.8.249.0/24,3017382
5.8.250.0/24,2750405
5.8.251.0/24,6252001
5.8.252.0/22,2510769
5.9.0.0/16,2921044
5.10.16.0/20,2635167
5.10.32.0/21,614540
5.10.40.0/21,2921044
5.10.64.0/19,2750405
5.10.128.0/21,3017382
5.10.136.0/22,2635167
5.10.160.0/19,2921044
5.10.192.0/24,2750405
5.10.200.0/21,2510769
5.10.208.0/20,2921044
5.10.224.0/21,99237
5.10.232.0/23,6252001
5.10.240.0/21,587116
5.11.0.0/21,2782113
5.11.8.0/21,2635167
5.11.32.0/21,3175395
5.11.40.0/21,6254930
5.11.48.0/21,2921044
5.11.56.0/22,3017382
5.11.60.0/22,2017370
5.11.80.0/21,2750405
5.11.88.0/21,2635167
5.11.96.0/19,3175395
5.11.128.0/17,298795
5.12.0.0/14,798549
5.16.0.0/14,2017370
5.20.0.0/16,597427
5.21.0.0/16,286963
5.22.0.0/17,130758
5.22.128.0/21,294640
5.22.136.0/21,2635167
5.22.144.0/21,2921044
5.22.152.0/24,2510769
5.22.155.0/24,6252001
5.22.156.0/24,2510769
5.22.160.0/19,6290252
5.22.192.0/21,130758
5.22.204.0/22,2750405
5.22.208.0/24,660013
5.22.224.0/21,2635167
5.22.232.0/21,2661886
5.22.240.0/21,2921044
5.22.248.0/21,2750405
5.23.0.0/24,6251999
5.23.32.0/22,3175395
5.23.40.0/21,3017382
5.23.48.0/21,2017370
5.23.56.0/21,660013
5.23.64.0/19,2629691
5.23.96.0/20,2017370
5.23.112.0/21,130758
5.23.120.0/21,298795
5.23.128.0/17,2802361
5.24.0.0/14,298795
5.28.0.0/21,719819
5.28.8.0/21,3175395
5.28.16.0/20,2017370
5.28.32.0/21,1831722
5.28.40.0/21,2921044
5.28.48.0/20,2635167
5.28.64.0/18,2921044
5.28.128.0/18,294640
5.28.192.0/18,2921044
5.29.0.0/16,294640
5.30.0.0/15,290557
5.32.128.0/21,732800
5.32.136.0/21,3190538
5.32.144.0/21,2017370
5.32.152.0/21,2635167
5.32.160.0/21,2921044
5.32.168.0/21,617790
5.32.176.0/21,718075
5.32.184.0/21,2921044
5.32.192.0/18,286963
5.33.0.0/16,2623032
5.34.0.0/17,1522867
5.34.128.0/19,2510769
5.34.160.0/21,6254930
5.34.168.0/21,3057568
5.34.176.0/23,6252001
5.34.184.0/21,3175395
5.34.192.0/20,130758
5.34.208.0/21,2077456
5.34.224.0/21,2921044
5.34.232.0/21,2750405
5.34.240.0/22,241170
5.34.248.0/21,3042058
5.35.0.0/19,2017370
5.35.104.0/21,1522867
5.35.112.0/20,2017370
5.35.160.0/21,3042142
5.35.168.0/21,3577718
5.35.176.0/21,2750405
5.35.184.0/21,2661886
5.35.192.0/21,6252001
5.35.200.0/21,2510769
5.35.208.0/21,798549
5.35.216.0/21,2510769
5.35.224.0/24,2921044
5.36.0.0/15,286963
5.38.0.0/17,290557
5.38.128.0/17,719819
5.39.0.0/23,3017382
5.39.128.0/19,3202326
5.39.160.0/21,2017370
5.39.168.0/21,2750405
5.39.176.0/21,2635167
5.39.184.0/21,2750405
5.39.192.0/21,798544
5.39.200.0/22,3077311
5.39.204.0/22,174982
5.39.208.0/21,2510769
5.39.216.0/21,2750405
5.39.224.0/20,3017382
5.39.240.0/21,2921044
5.39.248.0/24,2635167
5.40.0.0/16,2510769
5.41.0.0/16,102358
5.42.0.0/18,2017370
5.42.128.0/21,3042142
5.42.136.0/21,2921044
5.42.144.0/21,3175395
5.42.152.0/21,3017382
5.42.160.0/21,6252001
5.42.192.0/24,2017370
5.42.193.0/24,3017382
5.42.194.0/24,2750405
5.42.195.0/24,2017370
5.42.196.0/24,2921044
5.42.197.0/24,3017382
5.42.198.0/24,798549
5.42.199.0/24,2017370
5.42.200.0/24,3017382
5.42.201.0/24,2921044
5.42.202.0/24,298795
5.42.203.0/24,6252001
5.42.204.0/24,2921044
5.42.205.0/24,146669
5.42.206.0/24,597427
5.42.207.0/24,2750405
5.42.208.0/24,597427
5.42.209.0/24,2017370
5.42.217.0/24,130758
5.42.218.0/24,2017370
5.42.221.0/24,453733
5.42.222.0/24,1522867
5.42.223.0/24,130758
5.42.224.0/19,102358
5.43.0.0/18,2264397
5.43.64.0/18,3277605
5.43.128.0/19,2017370
5.43.160.0/19,3202326
5.43.192.0/19,6254930
5.43.224.0/21,3077311
5.43.232.0/21,3175395
5.43.240.0/21,2017370
5.43.248.0/21,3175395
5.44.0.0/20,2017370
5.44.16.0/20,2635167
5.44.32.0/21,587116
5.44.40.0/23,2017370
5.44.64.0/21,3144096
5.44.72.0/21,2750405
5.44.80.0/20,298795
5.44.96.0/22,2921044
5.44.112.0/20,2658434
5.44.128.0/21,614540
5.44.136.0/21,2623032
5.44.144.0/20,298795
5.44.160.0/21,3017382
5.44.168.0/21,2017370
5.44.176.0/21,2661886
5.44.184.0/21,453733
5.44.192.0/20,2661886
5.44.208.0/21,2782113
5.44.216.0/21,458258
5.44.224.0/20,2635167
5.44.240.0/21,660013
5.44.248.0/24,798549
5.44.249.0/24,597427
5.44.250.0/24,2750405
5.44.252.0/24,690791
5.44.253.0/24,290557
5.44.254.0/24,6254930
5.44.255.0/24,6252001
5.45.0.0/21,2921044
5.45.8.0/21,2510769
5.45.16.0/20,2635167
5.45.32.0/22,2750405
5.45.36.0/23,290557
5.45.40.0/22,3017382
5.45.44.0/22,458258
5.45.48.0/21,2635167
5.45.56.0/22,3077311
5.45.64.0/20,2635167
5.45.96.0/23,2921044
5.45.112.0/20,453733
5.45.128.0/20,248816
5.45.144.0/22,2782113
5.45.148.0/22,2921044
5.45.152.0/21,3144096
5.45.160.0/20,2510769
5.45.176.0/21,2921044
5.45.184.0/24,2960313
5.45.188.0/22,272103
5.45.192.0/20,2017370
5.46.0.0/15,298795
5.48.0.0/14,3017382
5.52.0.0/16,130758
5.53.0.0/21,2510769
5.53.8.0/21,3077311
5.53.16.0/20,2017370
5.53.32.0/19,130758
5.53.64.0/19,2635167
5.53.96.0/21,290557
5.53.104.0/21,2658434
5.53.112.0/21,690791
5.53.120.0/21,2017370
5.53.128.0/17,732800
5.54.0.0/15,390903
5.56.0.0/21,2510769
5.56.8.0/21,3175395
5.56.16.0/21,2921044
5.56.24.0/21,690791
5.56.32.0/21,719819
5.56.40.0/21,3017382
5.56.48.0/21,2635167
5.56.56.0/21,2510769
5.56.64.0/18,617790
5.56.128.0/22,130758
5.56.136.0/21,2017370
5.56.144.0/20,2623032
5.56.160.0/21,2510769
5.56.168.0/21,2635167
5.56.176.0/20,2921044
5.57.0.0/21,272103
5.57.8.0/21,1527747
5.57.16.0/22,2750405
5.57.24.0/21,2510769
5.57.32.0/21,130758
5.57.40.0/21,2921044
5.57.48.0/21,2623032
5.57.56.0/21,2635167
5.57.64.0/21,690791
5.57.72.0/21,6290252
5.57.80.0/20,2635167
5.57.96.0/19,935317
5.57.128.0/18,798544
5.57.192.0/21,2921044
5.57.200.0/21,2658434
5.57.208.0/24,3175395
5.57.209.0/24,3077311
5.57.210.0/24,241170
5.57.212.0/24,2017370
5.57.213.0/24,2750405
5.57.214.0/24,798544
5.57.215.0/24,298795
5.57.216.0/21,2017370
5.57.224.0/21,2750405
5.57.232.0/21,2017370
5.57.240.0/21,2661886
5.57.248.0/21,2750405
5.58.0.0/16,690791
5.59.0.0/21,3077311
5.60.0.0/18,6252001
5.61.0.0/21,3175395
5.61.8.0/21,2017370
5.61.24.0/23,130758
5.61.32.0/20,2635167
5.61.64.0/21,2921044
5.61.72.0/21,2635167
5.61.80.0/21,2921044
5.61.88.0/21,660013
5.61.96.0/20,732800
5.61.112.0/21,2963597
5.61.120.0/21,2635167
5.61.128.0/18,2921044
5.61.192.0/24,3175395
5.61.200.0/21,2510769
5.61.211.0/24,2921044
5.61.212.0/22,3017382
5.61.216.0/21,3175395
5.61.224.0/21,2658434
5.61.232.0/21,2017370
5.61.240.0/21,719819
5.61.248.0/21,2750405
5.62.0.0/20,2635167
5.62.64.0/21,2921044
5.62.72.0/21,3175395
5.62.80.0/22,3042225
5.62.96.0/20,2921044
5.62.128.0/20,99237
5.62.152.0/21,6252001
5.62.160.0/19,130758
5.63.0.0/21,2215636
5.63.8.0/21,130758
5.63.16.0/24,2510769
5.63.17.0/24,3175395
5.63.18.0/24,2635167
5.63.19.0/24,617790
5.63.20.0/24,2921044
5.63.22.0/24,2623032
5.63.23.0/24,130758
5.63.24.0/21,3017382
5.63.32.0/19,2921044
5.63.64.0/18,1522867
5.63.128.0/22,2960313
5.63.136.0/21,3175395
5.63.144.0/21,6252001
5.63.152.0/21,2017370
5.63.160.0/21,174982
5.63.168.0/21,3175395
5.63.176.0/21,2921044
5.63.184.0/21,798544
5.63.192.0/18,719819
5.64.0.0/13,2635167
5.72.0.0/15,130758
5.75.128.0/17,2921044
5.76.0.0/16,1522867
5.77.0.0/19,2017370
5.77.32.0/19,2635167
5.77.64.0/18,3175395
5.77.128.0/17,174982
5.78.0.0/16,2921044
5.79.0.0/18,2635167
5.79.64.0/23,2750405
5.79.128.0/17,2017370
5.80.0.0/15,2635167
5.82.0.0/16,102358
5.83.0.0/21,2750405
5.83.8.0/21,2635167
5.83.16.0/21,690791
5.83.24.0/21,2623032
5.83.32.0/20,798549
5.83.48.0/21,2510769
5.83.56.0/21,660013
5.83.64.0/19,2510769
5.83.96.0/21,2635167
5.83.104.0/21,3175395
5.83.112.0/21,290557
5.83.120.0/21,3175395
5.83.128.0/19,2921044
5.83.192.0/19,2635167
5.83.224.0/21,3144096
5.83.232.0/21,3017382
5.83.240.0/20,2963597
5.84.0.0/14,3175395
5.100.0.0/18,2921044
5.100.64.0/18,2017370
5.100.128.0/20,2921044
5.100.144.0/21,3017382
5.100.152.0/22,6252001
5.100.160.0/21,69543
5.100.168.0/21,2635167
5.100.176.0/20,3144096
5.100.192.0/19,630336
5.100.224.0/21,2750405
5.100.232.0/21,3175395
5.100.240.0/22,272103
5.100.244.0/22,2017370
5.100.248.0/21,294640
5.101.0.0/19,2017370
5.101.36.0/24,174982
5.101.40.0/22,2017370
5.101.52.0/22,1522867
5.101.60.0/22,2017370
5.101.71.0/24,174982
5.101.72.0/21,2017370
5.101.96.0/21,6252001
5.101.112.0/20,453733
5.101.128.0/21,2017370
5.101.136.0/21,2635167
5.101.152.0/21,2017370
5.101.160.0/21,2921044
5.101.168.0/21,2635167
5.101.176.0/20,453733
5.101.192.0/20,2017370
5.101.216.0/24,2960313
5.101.218.0/24,2017370
5.101.219.0/24,2960313
5.101.224.0/19,2017370
5.102.0.0/19,3175395
5.102.32.0/22,2658434
5.102.36.0/23,690791
5.102.40.0/21,798544
5.102.48.0/20,3077311
5.102.64.0/21,798544
5.102.72.0/24,3570311
5.102.80.0/20,2635167
5.102.96.0/22,6254930
5.102.128.0/21,2510769
5.102.136.0/21,2750405
5.102.144.0/21,2658434
5.102.152.0/21,2017370
5.102.160.0/21,2921044
5.102.168.0/21,2635167
5.102.176.0/21,286963
5.102.184.0/21,2635167
5.102.192.0/18,294640
5.103.0.0/16,2623032
5.104.0.0/20,298795
5.104.16.0/21,3077311
5.104.24.0/21,3175395
5.104.32.0/19,2017370
5.104.64.0/24,6252001
5.104.76.0/22,2921044
5.104.88.0/21,2658434
5.104.96.0/21,3017382
5.104.104.0/21,2921044
5.104.112.0/20,2750405
5.104.128.0/21,163843
5.104.136.0/21,2750405
5.104.144.0/21,2921044
5.104.158.0/23,798549
5.104.160.0/19,732800
5.104.192.0/21,3017382
5.104.200.0/21,2017370
5.104.208.0/21,130758
5.104.216.0/21,2782113
5.104.224.0/21,2750405
5.104.232.0/21,1522867
5.104.240.0/22,294640
5.104.248.0/21,798544
5.105.0.0/22,690791
5.106.0.0/16,130758
5.107.0.0/16,290557
5.108.0.0/14,102358
5.112.0.0/14,130758
5.128.0.0/14,2017370
5.132.0.0/17,2750405
5.132.128.0/20,2782113
5.132.192.0/18,102358
5.133.0.0/21,3277605
5.133.8.0/21,798544
5.133.16.0/21,2635167
5.133.24.0/21,6254930
5.133.32.0/21,3175395
5.133.40.0/21,2635167
5.133.48.0/20,3175395
5.133.64.0/22,597427
5.133.68.0/22,3017382
5.133.72.0/22,2635167
5.133.76.0/22,2017370
5.133.80.0/22,2635167
5.133.84.0/24,2750405
5.133.88.0/22,2635167
5.133.92.0/22,732800
5.133.96.0/22,3175395
5.133.100.0/22,298795
5.133.104.0/22,660013
5.133.108.0/24,290557
5.133.112.0/24,2921044
5.133.113.0/24,3017382
5.133.114.0/24,3175395
5.133.115.0/24,798544
5.133.116.0/22,2921044
5.133.120.0/22,1512440
5.133.124.0/22,298795
5.133.128.0/19,3277605
5.133.160.0/23,614540
5.133.168.0/21,2635167
5.133.192.0/21,2661886
5.133.224.0/20,587116
5.133.240.0/21,2635167
5.133.248.0/21,798544
5.134.0.0/21,2802361
5.134.8.0/21,2635167
5.134.16.0/21,2921044
5.134.24.0/21,2658434
5.134.32.0/20,2510769
5.134.48.0/20,587116
5.134.64.0/20,798544
5.134.80.0/22,174982
5.134.88.0/21,2963597
5.134.96.0/21,3017382
5.134.104.0/21,6290252
5.134.112.0/21,2510769
5.134.120.0/21,3175395
5.134.128.0/18,130758
5.134.200.0/21,163843
5.134.208.0/25,798544
5.134.216.0/21,2017370
5.134.224.0/19,163843
5.135.0.0/22,3017382
5.136.0.0/13,2017370
5.144.0.0/19,2658434
5.144.48.0/20,294640
5.144.64.0/20,2017370
5.144.80.0/20,2635167
5.144.96.0/19,2017370
5.144.128.0/21,130758
5.144.136.0/21,3017382
5.144.144.0/21,2510769
5.144.152.0/21,2635167
5.144.160.0/20,3175395
5.144.176.0/23,2635167
5.144.184.0/21,3175395
5.144.192.0/18,390903
5.145.0.0/18,2658434
5.145.104.0/21,3077311
5.145.112.0/21,130758
5.145.120.0/21,3175395
5.145.128.0/20,2921044
5.145.144.0/21,3077311
5.145.152.0/21,3144096
5.145.160.0/21,2017370
5.145.168.0/21,2510769
5.145.176.0/23,2921044
5.145.178.0/23,2635167
5.145.180.0/22,6252001
5.145.184.0/21,2921044
5.145.192.0/18,2017370
5.146.0.0/15,2921044
5.148.0.0/17,2635167
5.148.160.0/19,2658434
5.148.192.0/18,719819
5.149.0.0/21,2658434
5.149.8.0/21,2635167
5.149.16.0/20,2658434
5.149.64.0/19,3277605
5.149.96.0/20,99237
5.149.112.0/21,2960313
5.149.120.0/22,6252001
5.149.128.0/21,102358
5.149.136.0/21,2802361
5.149.144.0/20,2017370
5.149.160.0/21,798544
5.149.168.0/21,2963597
5.149.176.0/20,3017382
5.149.192.0/21,798544
5.149.200.0/21,2017370
5.149.224.0/20,2921044
5.149.240.0/21,719819
5.149.248.0/23,732800
5.150.0.0/17,2635167
5.150.128.0/20,3175395
5.150.144.0/21,2963597
5.150.152.0/22,2411586
5.150.156.0/22,6252001
5.150.160.0/19,2635167
5.150.192.0/18,2661886
5.151.0.0/20,2635167
5.152.0.0/17,614540
5.152.128.0/22,3175395
5.152.132.0/22,3077311
5.152.136.0/21,3144096
5.152.144.0/22,3175395
5.152.150.0/23,2661886
5.152.154.0/23,3175395
5.152.160.0/21,798544
5.152.168.0/21,2510769
5.152.176.0/24,2921044
5.152.184.0/21,2658434
5.152.192.0/19,2635167
5.152.224.0/21,458258
5.152.232.0/21,3277605
5.152.240.0/21,3175395
5.152.248.0/21,290557
5.153.0.0/18,2750405
5.153.64.0/19,2635167
5.153.104.0/21,3144096
5.153.112.0/20,2658434
5.153.128.0/19,2017370
5.153.192.0/19,2635167
5.153.232.0/24,241170
5.153.240.0/21,2658434
5.153.248.0/21,2635167
5.154.0.0/17,2510769
5.154.128.0/19,2635167
5.154.160.0/21,2921044
5.154.168.0/23,3277605
